Scenario,Percentile,Year,SLR,Return_Period,Exceedance_Probability,Total.Loss,Total.Count,Total.Exposed_Value,Exposed_Population,Buildings.Loss,Buildings.Count,Buildings.Exposed_Value,Crops.Loss,Crops.Count,Crops.Exposed_Value,Infrastructure.Loss,Infrastructure.Count,Infrastructure.Exposed_Value,Infrastructure_Exposed_km,Infrastructure_Exposed_sqkm,CropType.Cassava.Loss,CropType.Cassava.Count,CropType.Cassava.Exposed_Value,CropType.Coconut.Loss,CropType.Coconut.Count,CropType.Coconut.Exposed_Value,CropType.Nut_Tree.Loss,CropType.Nut_Tree.Count,CropType.Nut_Tree.Exposed_Value,CropType.Palm_oil.Loss,CropType.Palm_oil.Count,CropType.Palm_oil.Exposed_Value,CropType.Papaya.Loss,CropType.Papaya.Count,CropType.Papaya.Exposed_Value,CropType.Rice.Loss,CropType.Rice.Count,CropType.Rice.Exposed_Value,CropType.Sugarcane.Loss,CropType.Sugarcane.Count,CropType.Sugarcane.Exposed_Value,CropType.Taro.Loss,CropType.Taro.Count,CropType.Taro.Exposed_Value,CropType.Unknown.Loss,CropType.Unknown.Count,CropType.Unknown.Exposed_Value,OccupancyType.Commercial.Loss,OccupancyType.Commercial.Count,OccupancyType.Commercial.Exposed_Value,OccupancyType.Commercial_Accommodation.Loss,OccupancyType.Commercial_Accommodation.Count,OccupancyType.Commercial_Accommodation.Exposed_Value,OccupancyType.Industrial.Loss,OccupancyType.Industrial.Count,OccupancyType.Industrial.Exposed_Value,OccupancyType.Infrastructure.Loss,OccupancyType.Infrastructure.Count,OccupancyType.Infrastructure.Exposed_Value,OccupancyType.Other.Loss,OccupancyType.Other.Count,OccupancyType.Other.Exposed_Value,OccupancyType.Outbuilding.Loss,OccupancyType.Outbuilding.Count,OccupancyType.Outbuilding.Exposed_Value,OccupancyType.Public.Loss,OccupancyType.Public.Count,OccupancyType.Public.Exposed_Value,OccupancyType.Residential.Loss,OccupancyType.Residential.Count,OccupancyType.Residential.Exposed_Value
ssp119 (medium confidence),83,2050,0.243,100,0.01,15652887,652,116292052,1512,2926423,175,69139149,122098,128,192558,12604365,37,46958833,9.783699999999998,0.0858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),83,2050,0.243,250,0.004,25105139,833,205020868,1756,7521120,304,130623639,170721,156,242686,17413296,38,74152788,13.507499999999999,0.15969999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),83,2060,0.3,1,0.6321,19352,216,318959,797,0,0,0,386,17,19444,18966,2,298718,0.2089,7.999999999999999E-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),83,2060,0.3,5,0.1813,1363205,404,23939730,1173,209805,39,11666501,58450,78,112652,1094950,19,12159404,3.5590999999999995,0.0533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),83,2060,0.3,10,0.0952,2208940,438,54376533,1238,357975,53,16610459,67520,87,128473,1783445,23,37636363,4.2542,0.0591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),83,2060,0.3,25,0.0392,8123257,494,64769480,1320,809543,86,23674187,85048,96,141625,7228666,27,40952348,5.711799999999999,0.06810000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),83,2060,0.3,50,0.0198,11800968,564,82869230,1385,1589172,124,39547374,100073,110,167073,10111723,34,43153398,7.2894,0.0755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),83,2060,0.3,100,0.01,16268742,657,120802521,1526,3186097,179,72300866,126884,129,199622,12955761,37,48300507,10.2761,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),83,2060,0.3,250,0.004,26019404,837,210972717,1773,8057184,308,134871919,175668,156,243990,17786552,38,75855035,13.8254,0.1645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),83,2070,0.39,1,0.6321,33289,228,885410,836,0,0,0,662,19,25105,32626,3,859469,0.2179,0.0031999999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),83,2070,0.39,5,0.1813,1502497,419,26062254,1210,244247,44,13242920,63728,84,120458,1194522,19,12697666,3.8260000000000005,0.0555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),83,2070,0.39,10,0.0952,3255285,451,55910299,1249,438390,60,17231163,73709,90,130533,2743187,24,38547355,4.572,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),83,2070,0.39,25,0.0392,9151994,516,66876315,1355,975867,97,25207467,91095,98,143169,8085031,30,41524323,6.0307,0.0705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),83,2070,0.39,50,0.0198,12737288,591,92607337,1434,1845755,138,48634484,108059,116,172221,10783474,34,43799198,7.948,0.0774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),83,2070,0.39,100,0.01,17313492,686,134067659,1579,3652781,194,81922210,134055,136,207343,13526654,37,51936527,10.919599999999999,0.1001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),83,2070,0.39,250,0.004,27491906,874,222225203,1894,9005234,327,142665520,182679,161,248623,18303996,39,79309166,14.398,0.1735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),83,2080,0.46,1,0.6321,52503,239,1383547,858,0,1,108594,1732,22,27107,50771,4,1246989,0.2349,0.0047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),83,2080,0.46,5,0.1813,1622737,437,28078687,1227,280820,52,14724117,67743,88,124413,1274173,22,13228931,4.042,0.0577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),83,2080,0.46,10,0.0952,4074604,467,56965189,1265,503563,66,17722561,78648,96,136336,3492393,24,39105027,4.8187999999999995,0.0645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),83,2080,0.46,25,0.0392,9801870,542,68466205,1363,1116936,110,26382422,95682,108,154720,8589250,30,41927699,6.3654,0.0726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),83,2080,0.46,50,0.0198,13435498,614,96228712,1473,2078338,149,51756196,114093,122,180340,11243068,34,44290702,8.516,0.07970000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),83,2080,0.46,100,0.01,18164103,719,151793512,1602,4048536,215,94523639,140369,144,216605,13975199,37,57051666,11.3393,0.115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),83,2080,0.46,250,0.004,28726555,895,227005159,1925,9826129,343,145818062,187654,165,252397,18712772,39,80932776,14.753499999999999,0.1781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),83,2090,0.535,1,0.6321,75508,250,1810228,884,0,1,180990,3286,25,28622,72222,5,1599732,0.279,0.0063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),83,2090,0.535,5,0.1813,1986391,452,38407423,1244,332087,56,16138201,72377,93,131366,1581930,24,22136613,4.2635,0.0601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),83,2090,0.535,10,0.0952,5089285,483,58917457,1282,579138,76,19001045,83882,97,140253,4426267,27,39774877,5.0791,0.0665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),83,2090,0.535,25,0.0392,10479287,563,73947199,1376,1276218,121,31328574,100578,112,163093,9102489,33,42454156,6.7725,0.07469999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),83,2090,0.535,50,0.0198,14172604,634,100931385,1506,2349463,158,55748297,120043,127,187475,11703097,36,44994108,9.0906,0.08239999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),83,2090,0.535,100,0.01,19132155,747,167139333,1621,4508793,234,104211311,147165,148,224195,14476199,38,62702205,11.7604,0.1306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),83,2090,0.535,250,0.004,30102336,929,232966878,1946,10755612,367,150073135,192616,172,260062,19154111,39,82631736,15.172699999999999,0.183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),83,2100,0.59,1,0.6321,93156,252,2122596,914,0,2,278774,4642,25,29567,88514,5,1813341,0.3316,0.0073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),83,2100,0.59,5,0.1813,2448090,452,52467121,1252,378341,56,16690805,76055,93,134564,1993693,24,35640499,4.4164,0.062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),83,2100,0.59,10,0.0952,5947252,489,61590804,1298,638978,78,21097610,87657,99,142584,5220616,27,40349312,5.2667,0.068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),83,2100,0.59,25,0.0392,10982726,565,81145194,1393,1398089,122,38053431,104172,112,164929,9480465,33,42925440,7.0988999999999995,0.07619999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),83,2100,0.59,50,0.0198,14710924,643,113519465,1542,2561723,161,67481840,124015,130,197939,12025185,37,45838142,9.4842,0.0844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),83,2100,0.59,100,0.01,19883871,752,176058046,1646,4871772,237,109182424,152067,149,227830,14860031,38,66646144,12.0574,0.1406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),83,2100,0.59,250,0.004,31142236,934,239043036,1960,11466596,372,154770608,196006,172,267794,19479632,39,84002674,15.5255,0.187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),83,2110,0.673,1,0.6321,125639,262,2704023,928,0,5,365073,7339,28,34330,118299,6,2303692,0.3631,0.010199999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),83,2110,0.673,5,0.1813,3382573,469,56751596,1269,454239,67,17829195,81849,97,139146,2846485,24,38781986,4.659599999999999,0.0647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),83,2110,0.673,10,0.0952,7299834,512,64635964,1329,747934,93,23677403,93067,101,144466,6458832,27,40812766,5.6986,0.0696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),83,2110,0.673,25,0.0392,11780845,588,88890588,1420,1602542,134,45201610,109767,118,172638,10068536,34,43514921,7.5145,0.0781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),83,2110,0.673,50,0.0198,15586708,669,121656120,1574,2926301,177,73735469,129831,135,202052,12530576,37,47717025,10.082,0.09000000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),83,2110,0.673,100,0.01,21109840,789,188713406,1706,5488271,262,119535231,159112,155,233674,15462457,38,68942795,12.5356,0.1473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),83,2110,0.673,250,0.004,32757776,976,245457135,2060,12625090,399,160141864,200976,176,274488,19931709,39,85038724,15.952899999999998,0.19010000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),83,2120,0.74,1,0.6321,157782,282,3893522,935,37,11,1096625,9341,33,37515,148405,10,2758446,0.4219,0.0125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),83,2120,0.74,5,0.1813,4265818,499,58502745,1283,521955,83,19005986,86336,102,142083,3657527,27,39353394,4.907400000000001,0.0664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),83,2120,0.74,10,0.0952,8194291,549,66271855,1352,862810,108,24926319,97318,113,148582,7234162,30,41195603,5.997,0.071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),83,2120,0.74,25,0.0392,12451478,632,92879810,1450,1802660,152,48709482,114473,130,178280,10534342,34,43990596,7.9805,0.0798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),83,2120,0.74,50,0.0198,16350773,724,128833429,1592,3265244,212,77880493,134984,150,208143,12950543,37,50743200,10.581700000000001,0.0986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),83,2120,0.74,100,0.01,22177054,846,196297777,1746,6046233,297,125074178,164692,170,240673,15966128,38,70981180,12.974900000000002,0.15330000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),83,2120,0.74,250,0.004,34150356,1106,253537892,2134,13640691,494,167212714,205278,187,279148,20304386,46,86043895,16.4469,0.1928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),83,2130,0.803,1,0.6321,191364,288,5652402,942,96,13,2397880,11079,36,41919,180190,10,3211662,0.5015000000000001,0.0147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),83,2130,0.803,5,0.1813,5161466,511,61103033,1310,589295,88,21104052,90421,104,144070,4481750,27,39853602,5.172,0.0677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),83,2130,0.803,10,0.0952,8906024,558,67770831,1374,986604,112,26021437,101281,117,158311,7818138,30,41589710,6.240399999999999,0.0725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),83,2130,0.803,25,0.0392,13096263,637,95560365,1486,2011654,153,50916866,119013,132,183465,10965593,36,44458550,8.506799999999998,0.0812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),83,2130,0.803,50,0.0198,17100920,734,143722898,1612,3609186,219,89008038,140136,152,216290,13351598,37,54496958,11.061800000000002,0.109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),83,2130,0.803,100,0.01,23223372,859,202450730,1783,6604344,305,128928551,169897,172,248914,16449132,38,73271482,13.4197,0.1596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),83,2130,0.803,250,0.004,35512706,1128,265470449,2203,14640707,511,178014064,209524,190,285477,20662480,46,87168708,17.013299999999997,0.1954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),83,2140,0.866,1,0.6321,224943,289,7335531,948,154,13,3624182,12811,36,45521,211977,10,3664879,0.5814,0.0167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),83,2140,0.866,5,0.1813,6057114,513,63374221,1347,656636,88,22872316,94506,105,146301,5305971,27,40354257,5.445099999999999,0.0689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),83,2140,0.866,10,0.0952,9617754,560,69177310,1396,1110403,113,27025314,105240,118,166892,8402111,30,41983709,6.4818999999999996,0.074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),83,2140,0.866,25,0.0392,13740995,641,98444266,1520,2220648,155,53331247,123555,134,189370,11396792,36,44922131,9.0415,0.0827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),83,2140,0.866,50,0.0198,17851066,739,158287290,1628,3953125,222,99809245,145287,154,225700,13752652,37,58250717,11.5422,0.11950000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),83,2140,0.866,100,0.01,24269691,862,208402075,1819,7162453,306,132579395,175103,173,259077,16932134,38,75561785,13.8647,0.166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),83,2140,0.866,250,0.004,36875061,1132,276787476,2279,15640721,513,188200292,213766,190,290999,21020573,46,88293906,17.588299999999997,0.1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),83,2150,0.928,1,0.6321,259453,301,8550690,957,408,15,4357850,14663,42,50000,244381,10,4141883,0.7104,0.0191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),83,2150,0.928,5,0.1813,7004530,527,65080394,1365,735471,95,24144583,98519,111,148599,6170540,27,40785847,5.724399999999999,0.0701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),83,2150,0.928,10,0.0952,10256848,580,72888779,1410,1240435,124,30278712,108812,122,172643,8907600,33,42436013,6.8015,0.07540000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),83,2150,0.928,25,0.0392,14375437,663,104827363,1549,2452540,167,58913137,127921,140,195825,11794974,37,45716852,9.54,0.085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),83,2150,0.928,50,0.0198,18637733,763,168386690,1647,4324478,239,105797490,150338,155,230685,14162916,38,62356869,11.985999999999999,0.1304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),83,2150,0.928,100,0.01,25332458,890,214156714,1855,7753646,327,136071041,179939,173,263768,17398875,38,77820050,14.278200000000002,0.1722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),83,2150,0.928,250,0.004,38303187,1176,289685869,2340,16695773,544,200014062,218065,194,294780,21389348,47,89374686,18.122299999999996,0.2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),95,2020,0.105,1,0.6321,5117,182,127582,700,0,0,0,52,4,2288,5066,1,124594,0.1304,5.0E-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),95,2020,0.105,5,0.1813,1069029,375,19787812,1116,139797,33,8785763,47963,67,94735,881270,18,10906198,2.9652,0.0487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),95,2020,0.105,10,0.0952,1442550,403,25838589,1167,234809,43,12979974,57142,76,110460,1150601,19,12746988,3.7509,0.0551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),95,2020,0.105,25,0.0392,4949779,452,57258295,1240,556307,64,17887111,71072,89,131761,4322399,24,39238183,4.973,0.064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),95,2020,0.105,50,0.0198,10000012,512,67355948,1342,1154445,97,25325906,86915,98,154776,8758654,30,41873924,6.221900000000001,0.0703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),95,2020,0.105,100,0.01,14237354,591,95960077,1437,2358482,141,51240155,110034,112,175364,11768838,36,44543121,8.7687,0.0785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),95,2020,0.105,250,0.004,22885027,769,192622323,1659,6317633,262,122542848,157807,145,229692,16409590,38,69848124,12.6307,0.1472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),95,2030,0.163,1,0.6321,8060,199,135533,739,0,0,0,111,9,8773,7949,1,126023,0.1604,5.0E-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),95,2030,0.163,5,0.1813,1156483,389,22055790,1133,160168,38,10583581,51126,71,96837,945188,18,11374239,3.1585,0.0505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),95,2030,0.163,10,0.0952,1537780,421,27663750,1185,261789,48,14463415,60024,81,114783,1215967,22,13084366,3.8885,0.056299999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),95,2030,0.163,25,0.0392,5875600,470,59805273,1259,620147,73,19748137,75446,90,132121,5180008,26,39923755,5.1389000000000005,0.0649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),95,2030,0.163,50,0.0198,10525228,534,69271960,1352,1276350,108,26865197,90898,102,156758,9157981,33,42248654,6.5147,0.0717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),95,2030,0.163,100,0.01,14818122,619,107024002,1477,2585627,156,61428780,115197,118,182749,12117295,37,45410994,9.162299999999998,0.08099999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),95,2030,0.163,250,0.004,23819378,801,197234269,1711,6805496,282,125304866,163413,152,235456,16850469,38,71692236,13.0198,0.1526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),95,2040,0.241,1,0.6321,13795,214,213280,773,0,0,0,244,16,15161,13551,2,197346,0.1912,6.000000000000001E-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),95,2040,0.241,5,0.1813,1274149,402,23627268,1156,188187,39,11650536,55316,76,104106,1030646,19,11871470,3.3954999999999997,0.0524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),95,2040,0.241,10,0.0952,1848781,437,39256657,1212,311379,53,15857727,64179,86,120722,1473222,23,23276997,4.0902,0.057800000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),95,2040,0.241,25,0.0392,7145117,489,62685817,1289,721827,83,21961734,81030,96,137127,6342260,26,40585668,5.4359,0.06649999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),95,2040,0.241,50,0.0198,11245941,558,77928020,1368,1450488,120,35005517,96158,108,161205,9699294,34,42759930,6.9417,0.0737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),95,2040,0.241,100,0.01,15631278,652,116170576,1512,2917313,175,69064977,121930,128,192332,12592034,37,46911757,9.7665,0.0856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),95,2040,0.241,250,0.004,25073058,832,204679566,1755,7502311,303,130342111,170548,156,242641,17400198,38,74093059,13.4963,0.15949999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),95,2050,0.31,1,0.6321,20782,217,369380,797,0,0,0,414,17,19444,20370,2,349139,0.20989999999999998,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),95,2050,0.31,5,0.1813,1378676,404,23999444,1173,213632,39,11666501,59030,78,112652,1106013,19,12219118,3.5866999999999996,0.0535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),95,2050,0.31,10,0.0952,2325010,438,54465869,1238,366910,53,16610459,68206,87,128473,1889894,23,37725699,4.289499999999999,0.0595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),95,2050,0.31,25,0.0392,8237521,497,64860719,1320,828024,88,23704575,85718,96,141625,7323780,28,41013200,5.7402,0.0683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),95,2050,0.31,50,0.0198,11905000,565,83135767,1385,1617682,125,39742202,100956,110,167073,10186363,34,43225107,7.3614999999999995,0.07569999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),95,2050,0.31,100,0.01,16384789,661,121177552,1528,3237951,179,72300866,127678,131,199965,13019162,37,48675193,10.3476,0.091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
