Scenario,Percentile,Year,SLR,Return_Period,Exceedance_Probability,Total.Loss,Total.Count,Total.Exposed_Value,Exposed_Population,Buildings.Loss,Buildings.Count,Buildings.Exposed_Value,Crops.Loss,Crops.Count,Crops.Exposed_Value,Infrastructure.Loss,Infrastructure.Count,Infrastructure.Exposed_Value,Infrastructure_Exposed_km,Infrastructure_Exposed_sqkm,CropType.Cassava.Loss,CropType.Cassava.Count,CropType.Cassava.Exposed_Value,CropType.Coconut.Loss,CropType.Coconut.Count,CropType.Coconut.Exposed_Value,CropType.Nut_Tree.Loss,CropType.Nut_Tree.Count,CropType.Nut_Tree.Exposed_Value,CropType.Palm_oil.Loss,CropType.Palm_oil.Count,CropType.Palm_oil.Exposed_Value,CropType.Papaya.Loss,CropType.Papaya.Count,CropType.Papaya.Exposed_Value,CropType.Rice.Loss,CropType.Rice.Count,CropType.Rice.Exposed_Value,CropType.Sugarcane.Loss,CropType.Sugarcane.Count,CropType.Sugarcane.Exposed_Value,CropType.Taro.Loss,CropType.Taro.Count,CropType.Taro.Exposed_Value,CropType.Unknown.Loss,CropType.Unknown.Count,CropType.Unknown.Exposed_Value,OccupancyType.Commercial.Loss,OccupancyType.Commercial.Count,OccupancyType.Commercial.Exposed_Value,OccupancyType.Commercial_Accommodation.Loss,OccupancyType.Commercial_Accommodation.Count,OccupancyType.Commercial_Accommodation.Exposed_Value,OccupancyType.Industrial.Loss,OccupancyType.Industrial.Count,OccupancyType.Industrial.Exposed_Value,OccupancyType.Infrastructure.Loss,OccupancyType.Infrastructure.Count,OccupancyType.Infrastructure.Exposed_Value,OccupancyType.Other.Loss,OccupancyType.Other.Count,OccupancyType.Other.Exposed_Value,OccupancyType.Outbuilding.Loss,OccupancyType.Outbuilding.Count,OccupancyType.Outbuilding.Exposed_Value,OccupancyType.Public.Loss,OccupancyType.Public.Count,OccupancyType.Public.Exposed_Value,OccupancyType.Residential.Loss,OccupancyType.Residential.Count,OccupancyType.Residential.Exposed_Value
ssp119 (medium confidence),5,2050,0.081,10,0.0952,1405092,403,25399713,1159,225510,43,12730414,55936,76,108196,1123646,19,12559943,3.6935000000000002,0.0545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),5,2050,0.081,25,0.0392,4632311,452,57064099,1236,532951,64,17841754,69384,89,129832,4029978,24,39091277,4.887099999999999,0.0636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),5,2050,0.081,50,0.0198,9779381,511,67118758,1329,1106464,97,25239165,85328,98,151027,8587588,30,41727237,6.142899999999999,0.0699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),5,2050,0.081,100,0.01,14011217,590,95268081,1429,2274099,140,50730780,107886,112,173679,11629235,36,44362192,8.590699999999998,0.0779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),5,2050,0.081,250,0.004,22513473,769,190791123,1651,6126279,262,121390453,155678,145,228641,16231518,38,69170379,12.485700000000001,0.1453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),5,2060,0.103,1,0.6321,5016,182,127553,700,0,0,0,50,4,2288,4966,1,124565,0.1298,5.0E-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),5,2060,0.103,5,0.1813,1066019,375,19772651,1116,139094,33,8785763,47855,67,94735,879069,18,10891037,2.9584999999999995,0.048600000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),5,2060,0.103,10,0.0952,1439285,403,25827730,1167,233878,43,12979974,57044,76,110460,1148364,19,12736129,3.7462,0.0551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),5,2060,0.103,25,0.0392,4918367,452,57249629,1240,554105,64,17887111,70923,89,131761,4293337,24,39229517,4.967700000000001,0.064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),5,2060,0.103,50,0.0198,9981923,512,67343801,1342,1150241,97,25325906,86778,98,154776,8744905,30,41861777,6.2118,0.0703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),5,2060,0.103,100,0.01,14217543,591,95942373,1437,2350650,141,51240155,109857,112,175364,11757034,36,44525417,8.7559,0.0784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),5,2060,0.103,250,0.004,22852809,769,192558743,1659,6300809,262,122542848,157614,145,229692,16394386,38,69784544,12.6175,0.14709999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),5,2070,0.136,1,0.6321,6687,197,129869,720,0,0,0,81,8,3935,6606,1,125214,0.14329999999999998,5.0E-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),5,2070,0.136,5,0.1813,1115778,386,21040605,1122,150685,36,9786141,49656,71,95936,915437,18,11157405,3.0685,0.0496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),5,2070,0.136,10,0.0952,1493427,416,26569954,1176,249229,45,13531985,58684,81,112931,1185513,21,12923863,3.8245,0.055799999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),5,2070,0.136,25,0.0392,5445163,468,58687824,1250,590429,72,18933953,73409,90,131967,4781326,26,39620655,5.0621,0.06459999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),5,2070,0.136,50,0.0198,10280757,533,68437796,1346,1219601,108,26205501,89045,102,155909,8972111,33,42075040,6.378399999999999,0.0711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),5,2070,0.136,100,0.01,14547995,617,102263144,1458,2479888,156,57062227,112795,117,179379,11955312,37,45020080,8.9798,0.0799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),5,2070,0.136,250,0.004,23384423,800,195170557,1689,6578388,281,124102101,160803,152,232986,16645232,38,70833781,12.838899999999999,0.1501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),5,2080,0.15,1,0.6321,7397,198,131019,731,0,0,0,94,8,4576,7304,1,125713,0.1539,5.0E-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),5,2080,0.15,5,0.1813,1136887,389,21579974,1130,155603,38,10212603,50420,71,96403,930866,18,11269838,3.1151999999999997,0.049999999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),5,2080,0.15,10,0.0952,1516448,421,27281528,1181,255742,48,14157308,59383,81,113891,1201327,22,13009148,3.8577,0.055999999999999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),5,2080,0.15,25,0.0392,5668356,470,59275238,1257,605839,73,19364117,74465,90,132047,4988052,26,39777819,5.1019,0.06470000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),5,2080,0.15,50,0.0198,10407520,533,68870325,1348,1249027,108,26547566,90009,102,156349,9068489,33,42165062,6.4491,0.0713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),5,2080,0.15,100,0.01,14688064,618,104731834,1467,2534718,156,59326366,114044,118,181226,12039306,37,45222777,9.074399999999999,0.0804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),5,2080,0.15,250,0.004,23609958,800,196223351,1702,6696150,281,124708478,162158,152,234267,16751654,38,71278906,12.9327,0.15139999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),5,2090,0.174,1,0.6321,8620,199,136933,745,0,0,0,122,9,9905,8496,1,126285,0.16590000000000002,5.0E-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
