Scenario,Percentile,Year,SLR,Total_AAL,Building_AAL,Crops_AAL,Infrastructure_AAL,Average_Annual_Population_Exposed
ssp585 (low confidence),50,2050,0.249,1223177.62,199192.37,26266.63,997718.15,664.95
ssp585 (low confidence),50,2060,0.342,1402702.34,233324.24,28576.86,1140800.71,686.72
ssp585 (low confidence),50,2070,0.456,1638383.82,282283.33,31739.83,1324361.31,710.79
ssp585 (low confidence),50,2080,0.59,2104020.19,355567.12,36000.17,1712453.33,736.09
ssp585 (low confidence),50,2090,0.752,2951622.09,469755.69,41616.44,2440250.99,761.22
ssp585 (low confidence),50,2100,0.946,4059480.45,637684.71,48045.41,3373750.19,800.4
ssp585 (low confidence),50,2110,1.138,5056166.11,870958.54,54218.69,4130987.75,833.62
ssp585 (low confidence),50,2120,1.358,6081342.78,1223303.38,61770.63,4796268.27,881.73
ssp585 (low confidence),50,2130,1.602,7357345.67,1756309.27,71447.24,5529588.35,952.72
ssp585 (low confidence),50,2140,1.868,8980162.64,2579794.94,83089.32,6317278.41,1034.53
ssp585 (low confidence),83,2020,0.092,978092.64,151252.07,22561.35,804278.41,627.32
ssp585 (low confidence),83,2030,0.176,1099042.49,175276.41,24543.57,899222.59,648.69
ssp585 (low confidence),83,2040,0.287,1292321.03,212357.54,27164.74,1052799.7,674.02
ssp585 (low confidence),83,2050,0.435,1594916.55,272448.93,31126.55,1291341.42,707.22
ssp585 (low confidence),83,2060,0.623,2264189.81,376621.88,37150.19,1850416.77,739.82
ssp585 (low confidence),83,2070,0.858,3543245.71,555860.76,45126.75,2942257.6,784.5
ssp585 (low confidence),83,2080,1.13,5020946.64,859633.48,53957.14,4107356.0,832.71
ssp585 (low confidence),83,2090,1.44,6498773.69,1382759.25,64908.8,5051105.02,901.62
ssp585 (low confidence),83,2100,1.781,8410985.93,2281957.49,79045.06,6049983.25,1012.3
ssp585 (low confidence),95,2020,0.11,1002748.7,156192.2,22984.46,823571.62,630.12
ssp585 (low confidence),95,2030,0.226,1181320.47,191224.26,25723.25,964373.48,659.86
ssp585 (low confidence),95,2040,0.39,1501821.48,252139.05,29840.93,1219841.31,699.75
ssp585 (low confidence),95,2050,0.599,2141476.22,360835.28,36298.11,1744343.42,737.93
ssp585 (low confidence),95,2060,0.844,3465106.74,544487.99,44663.52,2875955.52,781.51
ssp585 (low confidence),95,2070,1.161,5158034.77,903520.8,54972.05,4199541.23,836.75
ssp585 (low confidence),95,2080,1.552,7090391.94,1634021.66,69417.16,5386954.3,936.9
ssp585 (medium confidence),5,2020,0.011,874806.62,130513.99,20650.48,723642.36,600.03
ssp585 (medium confidence),5,2030,0.041,913111.35,138195.04,21360.4,753556.06,610.96
ssp585 (medium confidence),5,2040,0.082,965350.98,148691.96,22326.01,794333.25,623.4
ssp585 (medium confidence),5,2050,0.135,1039287.88,163420.8,23575.01,852292.03,636.86
ssp585 (medium confidence),5,2060,0.196,1128189.91,181059.96,25015.98,922113.87,653.93
ssp585 (medium confidence),5,2070,0.258,1239553.8,202310.17,26479.26,1010764.1,667.32
ssp585 (medium confidence),5,2080,0.326,1369572.91,227052.32,28155.76,1114364.46,682.72
ssp585 (medium confidence),5,2090,0.419,1561786.24,264955.9,30658.53,1266171.48,703.28
ssp585 (medium confidence),5,2100,0.484,1696341.97,295395.79,32558.39,1368387.89,714.94
ssp585 (medium confidence),5,2110,0.49,1708761.03,298205.61,32734.02,1377822.45,715.88
ssp585 (medium confidence),5,2120,0.566,2004138.19,341519.22,35207.83,1627411.15,731.53
ssp585 (medium confidence),5,2130,0.641,2357099.63,388518.82,37792.7,1930787.45,743.9
ssp585 (medium confidence),5,2140,0.709,2711079.99,434826.32,40190.58,2236062.45,752.6
ssp585 (medium confidence),5,2150,0.771,3057671.23,485189.6,42246.06,2530235.32,763.74
ssp585 (medium confidence),17,2020,0.028,896543.63,134866.69,21051.65,740625.28,606.25
ssp585 (medium confidence),17,2030,0.066,944964.66,144595.8,21948.91,778420.14,618.78
ssp585 (medium confidence),17,2040,0.113,1007118.33,157059.43,23055.3,827003.29,630.98
ssp585 (medium confidence),17,2050,0.175,1097586.27,174987.89,24520.3,898078.72,648.69
ssp585 (medium confidence),17,2060,0.244,1214079.82,197459.73,26147.96,990471.0,663.98
ssp585 (medium confidence),17,2070,0.318,1353054.66,223917.03,27944.55,1101193.26,680.26
ssp585 (medium confidence),17,2080,0.4,1522470.69,256058.53,30104.53,1236307.63,701.86
ssp585 (medium confidence),17,2090,0.503,1736761.76,304644.22,33123.96,1398992.7,718.85
ssp585 (medium confidence),17,2100,0.601,2150792.24,362081.05,36365.96,1752344.06,737.93
ssp585 (medium confidence),17,2110,0.628,2289960.68,379926.92,37328.67,1872706.2,740.36
ssp585 (medium confidence),17,2120,0.721,2777737.15,444574.31,40587.34,2292574.88,754.15
ssp585 (medium confidence),17,2130,0.81,3275342.24,516869.46,43537.64,2714935.1,771.58
ssp585 (medium confidence),17,2140,0.891,3727427.58,582666.72,46219.29,3098541.4,791.38
ssp585 (medium confidence),17,2150,0.968,4194291.18,660501.14,48776.62,3485013.39,806.81
ssp585 (medium confidence),50,2020,0.053,928400.57,141266.98,21642.72,765490.97,614.71
ssp585 (medium confidence),50,2030,0.104,994069.78,154456.71,22843.49,816769.7,629.59
ssp585 (medium confidence),50,2040,0.163,1080097.46,171517.44,24237.21,884342.57,645.77
ssp585 (medium confidence),50,2050,0.241,1208618.92,196420.76,26077.57,986120.49,663.47
ssp585 (medium confidence),50,2060,0.323,1363357.32,225876.66,28076.74,1109403.54,681.56
ssp585 (medium confidence),50,2070,0.424,1572147.07,267297.81,30804.95,1274044.58,703.65
ssp585 (medium confidence),50,2080,0.535,1875107.55,323374.77,34182.66,1517551.02,724.58
ssp585 (medium confidence),50,2090,0.664,2475724.44,403721.45,38612.82,2033390.68,747.47
ssp585 (medium confidence),50,2100,0.812,3286504.95,518494.02,43604.29,2724406.81,771.71
ssp585 (medium confidence),50,2110,0.921,3906264.59,611756.94,47212.84,3247294.54,794.38
ssp585 (medium confidence),50,2120,1.054,4659543.6,760364.34,51532.81,3847646.97,821.44
ssp585 (medium confidence),50,2130,1.184,5259534.69,936082.96,55724.48,4267726.44,839.22
ssp585 (medium confidence),50,2140,1.306,5824314.98,1128885.94,59859.47,4635569.44,867.03
ssp585 (medium confidence),50,2150,1.42,6393792.85,1341161.82,64109.6,4988521.72,896.53
ssp585 (medium confidence),83,2020,0.08,962802.38,148179.84,22278.97,792343.92,622.9
ssp585 (medium confidence),83,2030,0.15,1061152.56,167758.76,23930.47,869464.51,642.6
ssp585 (medium confidence),83,2040,0.226,1181320.47,191224.26,25723.25,964373.48,659.86
ssp585 (medium confidence),83,2050,0.328,1373695.35,227836.85,28208.55,1117650.19,682.76
ssp585 (medium confidence),83,2060,0.437,1599056.04,273385.32,31185.0,1294485.21,707.32
ssp585 (medium confidence),83,2070,0.579,2058240.39,349128.55,35637.07,1673474.73,734.03
ssp585 (medium confidence),83,2080,0.734,2851159.81,455134.16,41019.84,2355006.27,757.44
ssp585 (medium confidence),83,2090,0.91,3838866.05,600348.73,46845.94,3191671.86,793.25
ssp585 (medium confidence),83,2100,1.125,4998934.0,852554.3,53794.5,4092586.01,832.48
ssp585 (medium confidence),83,2110,1.324,5913209.06,1161568.58,60521.27,4691119.8,870.71
ssp585 (medium confidence),83,2120,1.52,6920155.71,1556195.21,68115.0,5295845.17,929.74
ssp585 (medium confidence),83,2130,1.71,7968342.32,2059480.89,75885.55,5832976.69,983.93
ssp585 (medium confidence),83,2140,1.892,9139341.65,2663900.62,84218.75,6391222.71,1039.56
ssp585 (medium confidence),95,2020,0.101,989731.57,153589.37,22773.63,813368.01,629.59
ssp585 (medium confidence),95,2030,0.184,1110702.05,177589.38,24732.58,908379.68,651.02
ssp585 (medium confidence),95,2040,0.277,1274125.75,208892.84,26928.49,1038304.51,671.73
ssp585 (medium confidence),95,2050,0.403,1528640.59,257463.3,30190.98,1240986.0,701.86
ssp585 (medium confidence),95,2060,0.538,1887591.54,325130.59,34281.51,1528179.99,724.99
ssp585 (medium confidence),95,2070,0.712,2727826.33,437263.04,40290.08,2250273.16,752.9
ssp585 (medium confidence),95,2080,0.909,3832745.03,599311.79,46812.17,3186621.01,792.99
ssp585 (medium confidence),95,2090,1.131,5025348.14,861048.82,53989.49,4110310.47,832.74
ssp585 (medium confidence),95,2100,1.394,6259203.7,1288669.62,63093.42,4907441.36,891.24
ssp585 (medium confidence),95,2110,1.644,7592992.19,1872810.56,73161.09,5647019.88,965.96
ssp585 (medium confidence),95,2120,1.889,9119445.34,2653387.64,84078.22,6381979.79,1039.03
