Country,Buildings,Residential_Buildings,Nonresidential_Buildings,Building_Value,Population,Road_km,Road_Value,Evacuation_Centres,Health_Facilties,Schools
,0,0,0,0,0,0.0,0,1,2,0
Vanuatu,40815,26509,14306,3709952128,260935,3757.75,605074135,562,115,362
