Region,Overall_Winds,Min_WindSpeed_knots,Max_WindSpeed_knots,Min_WindSpeed_kmph,Max_WindSpeed_kmph,Exposed_Buildings,Exposed_Residential_Buildings,Exposed_Nonresidential_Buildings,Buildings_in_Floodplains,Buildings_In_Track_Uncertainty,Total_Buildings,Exposed_Building_Value,Building_Value_in_Floodplains,Building_Value_in_Track_Uncertainty,Total_Building_Value,Exposed_Population,Population_in_Floodplains,Population_in_Track_Uncertainty,Total_Population,Exposed_Road_km,Road_km_in_Floodplains,Total_Road_km,Exposed_Road_Value,Road_Value_in_Floodplains,Total_Road_Value,Exposed_Infrastructure_Value,Infrastructure_Value_in_Floodplains,Total_Infrastructure_Value,Exposed_Crop_Value,Crop_Value_in_Floodplains,Total_Crop_Value,Exposed_Evacuation_Centres,Evacuation_Centres_in_Floodplains,Evacuation_Centres_in_Track_Uncertainty,Exposed_Health_Facilties,Health_Facilties_in_Floodplains,Health_Facilties_in_Track_Uncertainty,Exposed_Schools,Schools_in_Floodplains,Schools_in_Track_Uncertainty
,Possible Gale Winds,34,34,63,63,34,0,34,0,0,36,520201,0,0,529295,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,318045,0,318045,0,0,0,0,0,0,0,0,0
Cook Islands,,,,,,0,0,0,0,0,18546,0,0,0,1410912980,0,0,0,15279,0.0,0.0,630.62,0,0,118282143,0,0,74101772,0,0,9210241,0,0,0,0,0,0,0,0,0
Tonga,Possible Storm Winds,34,48,63,89,45495,24296,21199,0,0,53154,2315527734,0,0,2644879657,84771,0,0,99668,2004.98,0.0,2367.89,254607380,0,308696620,100631456,0,117513328,21745981,0,25241262,33,0,0,34,0,0,98,0,0
Vanuatu,,,,,,0,0,0,0,0,178520,0,0,0,8139082614,0,0,0,306697,0.0,0.0,4380.28,0,0,647158009,0,0,119832145,0,0,56705031,0,0,0,0,0,0,0,0,0
