Scenario,Percentile,Year,SLR,Return_Period,Exceedance_Probability,Total.Loss,Total.Count,Total.Exposed_Value,Exposed_Population,Buildings.Loss,Buildings.Count,Buildings.Exposed_Value,Crops.Loss,Crops.Count,Crops.Exposed_Value,Infrastructure.Loss,Infrastructure.Count,Infrastructure.Exposed_Value,Infrastructure_Exposed_km,Infrastructure_Exposed_sqkm,CropType.Banana.Loss,CropType.Banana.Count,CropType.Banana.Exposed_Value,CropType.Cassava.Loss,CropType.Cassava.Count,CropType.Cassava.Exposed_Value,CropType.Coconut.Loss,CropType.Coconut.Count,CropType.Coconut.Exposed_Value,CropType.Cultivated_Land.Loss,CropType.Cultivated_Land.Count,CropType.Cultivated_Land.Exposed_Value,CropType.Mixed_Crops.Loss,CropType.Mixed_Crops.Count,CropType.Mixed_Crops.Exposed_Value,CropType.Nut_Tree.Loss,CropType.Nut_Tree.Count,CropType.Nut_Tree.Exposed_Value,CropType.Rice.Loss,CropType.Rice.Count,CropType.Rice.Exposed_Value,CropType.Sugarcane.Loss,CropType.Sugarcane.Count,CropType.Sugarcane.Exposed_Value,CropType.Unknown.Loss,CropType.Unknown.Count,CropType.Unknown.Exposed_Value,CropType.Yam.Loss,CropType.Yam.Count,CropType.Yam.Exposed_Value,OccupancyType.Commercial.Loss,OccupancyType.Commercial.Count,OccupancyType.Commercial.Exposed_Value,OccupancyType.Commercial_Accommodation.Loss,OccupancyType.Commercial_Accommodation.Count,OccupancyType.Commercial_Accommodation.Exposed_Value,OccupancyType.Industrial.Loss,OccupancyType.Industrial.Count,OccupancyType.Industrial.Exposed_Value,OccupancyType.Infrastructure.Loss,OccupancyType.Infrastructure.Count,OccupancyType.Infrastructure.Exposed_Value,OccupancyType.Other.Loss,OccupancyType.Other.Count,OccupancyType.Other.Exposed_Value,OccupancyType.Outbuilding.Loss,OccupancyType.Outbuilding.Count,OccupancyType.Outbuilding.Exposed_Value,OccupancyType.Public.Loss,OccupancyType.Public.Count,OccupancyType.Public.Exposed_Value,OccupancyType.Residential.Loss,OccupancyType.Residential.Count,OccupancyType.Residential.Exposed_Value
ssp119 (medium confidence),5,2020,0.012,1,0.6321,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
ssp119 (medium confidence),5,2020,0.012,5,0.1813,3522204,2985,152094581,22713,1692930,822,134185925,41670,609,294888,1787604,19,17591054,27.3228,0.0992,,,,,,,39188,606,290791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10741,89,541497,114097,56,11202591,598022,466,68372044
ssp119 (medium confidence),5,2020,0.012,10,0.0952,4508393,3155,193179283,23554,2256128,905,172064061,48305,652,316910,2203960,20,20774757,31.1554,0.1072,,,,,,,45527,649,312813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15737,97,583947,151866,62,13346305,855472,516,77858176
ssp119 (medium confidence),5,2020,0.012,25,0.0392,6313481,3360,253085192,24324,3167462,995,205232341,57443,721,350425,3088574,22,47478102,36.099900000000005,0.11760000000000001,,,,,,,54358,718,346328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23599,105,605982,206778,65,14863198,1296407,561,83883991
ssp119 (medium confidence),5,2020,0.012,50,0.0198,8553164,3550,281187192,24952,4036295,1094,231632551,65053,764,376420,4451818,23,49153269,40.0625,0.12469999999999999,,,,,,,61772,760,370889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31139,113,629958,260772,70,15945561,1762283,616,90276718
ssp119 (medium confidence),5,2020,0.012,100,0.01,11235657,3740,316577456,25715,5126121,1175,263254140,73479,821,400680,6036060,25,52896919,44.5994,0.12890000000000001,,,,,,,69999,816,394977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40605,123,655952,331247,74,20429161,2364224,656,96630441
ssp119 (medium confidence),5,2020,0.012,250,0.004,16150613,4025,353940326,26944,7083684,1310,295298839,86480,908,444859,8980449,33,58169683,51.76469999999999,0.1334,,,,,,,82718,902,437722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55574,131,743569,438167,78,20886005,3448542,734,107256033
ssp119 (medium confidence),5,2030,0.029,1,0.6321,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
ssp119 (medium confidence),5,2030,0.029,5,0.1813,3668564,3060,159380499,22846,1770760,857,140880538,42789,632,299592,1855015,19,18177523,27.9623,0.1005,,,,,,,40236,629,295495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11438,94,549705,120182,59,11739451,632575,485,69502500
ssp119 (medium confidence),5,2030,0.029,10,0.0952,4675270,3221,199134938,23632,2354921,938,177783564,49481,675,321448,2270869,20,21006296,31.772399999999998,0.1085,,,,,,,46643,672,317351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16606,99,584983,158751,62,13439509,899597,533,78635169
ssp119 (medium confidence),5,2030,0.029,25,0.0392,6628333,3457,257116311,24431,3293908,1047,208990247,58732,744,355318,3275693,22,47746315,36.7405,0.1188,,,,,,,55592,740,350806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24751,108,607774,215430,67,15073912,1359554,591,85163379
ssp119 (medium confidence),5,2030,0.029,50,0.0198,8908175,3627,288136642,25052,4189716,1130,237671755,66415,786,380145,4652044,24,50059689,40.8534,0.12539999999999998,,,,,,,63082,782,374614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32512,121,637377,272382,72,16832734,1841092,631,91431356
ssp119 (medium confidence),5,2030,0.029,100,0.01,11713738,3846,321885055,25916,5311816,1229,267415780,74950,856,407172,6326973,29,54036186,45.41479999999999,0.1298,,,,,,,71413,851,401225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42182,127,676072,344098,75,20492912,2459365,686,98222712
ssp119 (medium confidence),5,2030,0.029,250,0.004,16694220,4127,356809149,27076,7342032,1363,298038742,88078,935,450128,9264110,34,58293205,52.598800000000004,0.1341,,,,,,,84265,929,442747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57472,136,757108,453602,79,21032100,3579337,761,108256002
ssp119 (medium confidence),5,2040,0.05,1,0.6321,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
ssp119 (medium confidence),5,2040,0.05,5,0.1813,3849343,3078,167961669,23051,1866908,865,148732521,44156,635,304463,1938281,19,18901635,28.7434,0.10210000000000001,,,,,,,41516,632,300366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12300,94,556115,127699,60,12227082,675261,490,71030769
ssp119 (medium confidence),5,2040,0.05,10,0.0952,4881404,3245,205195641,23735,2476960,947,183552372,50930,685,327833,2353515,20,21291701,32.522099999999995,0.1101,,,,,,,48018,682,323736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17680,100,587187,167255,63,13638016,954106,537,79530463
ssp119 (medium confidence),5,2040,0.05,25,0.0392,7017258,3484,263469991,24559,3450107,1060,215005486,60313,752,361514,3506840,22,48078434,37.5484,0.1203,,,,,,,57109,748,356700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26175,110,613317,226116,69,16529212,1437558,597,86570733
ssp119 (medium confidence),5,2040,0.05,50,0.0198,9335825,3668,296187697,25339,4379238,1146,244962752,68094,799,386339,4888495,24,50813267,41.822199999999995,0.1263,,,,,,,64695,795,380808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34208,121,642899,286725,72,17892080,1938445,641,92823077
ssp119 (medium confidence),5,2040,0.05,100,0.01,12293375,3869,326916612,26123,5541207,1240,271487880,76751,863,414362,6675419,30,54988249,46.410900000000005,0.1308,,,,,,,73143,858,408114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44130,127,692893,359975,76,20657264,2576895,694,99994915
ssp119 (medium confidence),5,2040,0.05,250,0.004,17365680,4153,359908844,27224,7661170,1377,300982447,90041,943,456632,9614474,34,58442544,53.6348,0.1347,,,,,,,86164,937,448950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59818,139,770673,472669,80,21200244,3740909,769,109631564
ssp119 (medium confidence),5,2050,0.092,1,0.6321,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
ssp119 (medium confidence),5,2050,0.092,5,0.1813,4210892,3093,185819139,23372,2059200,874,165130946,46887,639,315158,2104804,19,20349662,30.303499999999996,0.1055,,,,,,,44072,636,311061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14023,94,568933,142730,60,13165428,760630,497,74890731
ssp119 (medium confidence),5,2050,0.092,10,0.0952,5293662,3260,216318408,23979,2721034,953,194090973,53815,690,340014,2518810,20,21863440,34.0399,0.1134,,,,,,,50754,687,335917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19827,101,592043,184262,63,13938316,1063122,539,81091679
ssp119 (medium confidence),5,2050,0.092,25,0.0392,7795076,3511,276316174,24836,3762501,1075,227177452,63464,756,373432,3969111,22,48740453,39.1179,0.12329999999999999,,,,,,,60132,752,368016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29020,111,627501,247491,69,17928662,1593564,607,90320787
ssp119 (medium confidence),5,2050,0.092,50,0.0198,10191110,3693,313673501,25783,4758275,1157,260928022,71441,809,399545,5361393,24,52320153,43.753800000000005,0.1282,,,,,,,67910,805,394014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37598,121,653941,315406,72,20010771,2133149,647,95787705
ssp119 (medium confidence),5,2050,0.092,100,0.01,13452655,3887,338483030,26575,5999984,1246,281119082,80346,869,429457,7372325,32,56907916,48.4032,0.1327,,,,,,,76595,864,422607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48025,127,726533,391722,76,20861326,2811949,697,103341248
ssp119 (medium confidence),5,2050,0.092,250,0.004,18708591,4171,367526845,27558,8299438,1387,308289462,93956,946,468718,10315196,34,58741107,55.7042,0.136,,,,,,,89950,940,460434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64508,139,793611,510799,81,22305145,4064046,775,112825204
ssp119 (medium confidence),5,2060,0.102,1,0.6321,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
ssp119 (medium confidence),5,2060,0.102,5,0.1813,4298848,3093,189089517,23432,2107345,874,168106141,47539,639,317009,2143964,19,20642935,30.665100000000002,0.10629999999999999,,,,,,,44685,636,312912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14455,94,571375,146402,60,13344161,781981,497,75491432
ssp119 (medium confidence),5,2060,0.102,10,0.0952,5389117,3262,218415525,24018,2781052,954,196055445,54507,691,342593,2553558,20,21993469,34.3962,0.1142,,,,,,,51411,688,338496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20362,101,592770,188452,63,13995517,1090314,540,81402882
ssp119 (medium confidence),5,2060,0.102,25,0.0392,7982059,3511,278397724,24882,3839685,1075,229110557,64218,756,375515,4078157,22,48886770,39.503299999999996,0.124,,,,,,,60856,752,369984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29718,111,629395,252933,69,18195224,1632266,607,90892346
ssp119 (medium confidence),5,2060,0.102,50,0.0198,10407376,3693,316736356,25856,4851791,1157,263672677,72243,809,401591,5483342,24,52636232,44.206700000000005,0.1286,,,,,,,68681,805,396060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38430,121,656044,322404,72,20414332,2181099,647,96287403
ssp119 (medium confidence),5,2060,0.102,100,0.01,13739126,3891,340951703,26655,6115359,1249,283206034,81207,870,432545,7542559,32,57286469,48.879900000000006,0.1331,,,,,,,77424,865,425580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48975,127,732941,399443,76,20900195,2870065,698,103970290
ssp119 (medium confidence),5,2060,0.102,250,0.004,19027561,4173,368789323,27616,8459348,1387,309477731,94892,947,471371,10473320,34,58812605,56.1715,0.1363,,,,,,,90858,941,462972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65654,139,797981,520327,81,22433647,4143209,775,113341698
ssp119 (medium confidence),5,2070,0.126,1,0.6321,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
ssp119 (medium confidence),5,2070,0.126,5,0.1813,4528604,3220,192392532,23542,2245553,940,171161257,49176,674,321487,2233876,20,20886248,31.4752,0.10769999999999999,,,,,,,46245,671,317390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15711,100,576396,156099,63,13513513,843071,534,76719545
ssp119 (medium confidence),5,2070,0.126,10,0.0952,5759017,3386,228793973,24117,2943364,1015,199724835,56266,725,347187,2759387,22,28697835,35.284099999999995,0.1158,,,,,,,53098,721,342717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21871,108,597976,199851,67,14545013,1167433,569,82496574
ssp119 (medium confidence),5,2070,0.126,25,0.0392,8459306,3646,286532403,25074,4051852,1138,236351432,66132,793,380249,4341323,24,49775649,40.5725,0.1249,,,,,,,62694,789,374718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31584,117,632371,269395,72,18772192,1740106,640,92110138
ssp119 (medium confidence),5,2070,0.126,50,0.0198,11047819,3825,320638469,26021,5107588,1226,267213224,74288,846,406569,5865942,26,52992656,45.252500000000005,0.1298,,,,,,,70642,841,400665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40660,127,676037,340825,76,20540657,2311474,685,97777185
ssp119 (medium confidence),5,2070,0.126,100,0.01,14536703,4035,346414024,26748,6451211,1335,288287313,83366,901,436756,8002128,34,57663207,50.0614,0.134,,,,,,,79516,895,429419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51480,132,736541,419513,79,21251606,3030177,745,105356191
ssp119 (medium confidence),5,2070,0.126,250,0.004,19785815,4320,382448323,27751,8919361,1469,322952767,97247,985,476957,10769206,34,58990849,57.107000000000006,0.1373,,,,,,,93150,978,467706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68682,146,806292,547503,84,22799097,4354559,813,114355860
ssp119 (medium confidence),5,2080,0.14,1,0.6321,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
ssp119 (medium confidence),5,2080,0.14,5,0.1813,4662607,3241,194987748,23640,2326174,946,173611752,50136,683,325668,2286297,20,21026687,31.9466,0.1085,,,,,,,47160,680,321571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16442,100,579099,161755,63,13604704,878706,537,77433331
ssp119 (medium confidence),5,2080,0.14,10,0.0952,5967323,3411,235748152,24196,3038048,1028,203052992,57294,732,351039,2871981,22,32319926,35.8115,0.1168,,,,,,,54084,728,346368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22752,108,600780,206500,68,15472748,1212419,578,83440163
ssp119 (medium confidence),5,2080,0.14,25,0.0392,8737201,3670,292970448,25198,4175616,1152,242295912,67253,800,384175,4494331,24,50265163,41.1947,0.12560000000000002,,,,,,,63770,796,378644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32673,122,652382,278998,72,19082867,1803012,644,92802348
ssp119 (medium confidence),5,2080,0.14,50,0.0198,11433200,3855,324693466,26155,5256804,1238,270068307,75489,856,411594,6100909,27,54187411,45.865300000000005,0.1305,,,,,,,71793,850,404916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41961,127,686803,351571,77,20718150,2387528,693,99014117
ssp119 (medium confidence),5,2080,0.14,100,0.01,15001536,4061,350254285,26812,6647124,1348,291912400,84631,910,440794,8269779,34,57874281,50.7499,0.1345,,,,,,,80743,904,433255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52941,132,738480,431221,79,21440828,3123574,753,106606512
ssp119 (medium confidence),5,2080,0.14,250,0.004,20228137,4346,390467028,27843,9187701,1479,330861764,98633,997,482326,10941804,34,59095096,57.6587,0.13770000000000002,,,,,,,94500,990,472615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70450,146,810768,563356,85,23050386,4477846,819,115087093
ssp119 (medium confidence),5,2090,0.162,1,0.6321,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
ssp119 (medium confidence),5,2090,0.162,5,0.1813,4873182,3251,205534965,23772,2452865,953,183932283,51638,684,330736,2368677,20,21248175,32.7023,0.1098,,,,,,,48592,681,326639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17592,100,583348,170644,63,13748002,934703,540,79008998
ssp119 (medium confidence),5,2090,0.162,10,0.0952,6294650,3427,245794096,24351,3186835,1036,207401694,58909,736,356904,3048907,22,38011147,36.6279,0.1182,,,,,,,55634,732,351918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24135,108,605185,216949,69,16335735,1283111,583,84904746
ssp119 (medium confidence),5,2090,0.162,25,0.0392,9173892,3690,301502265,25446,4370102,1161,250050722,69013,807,391072,4734775,24,51035023,42.185,0.1265,,,,,,,65461,803,385541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34385,122,665024,294087,72,19571071,1901863,652,94309838
ssp119 (medium confidence),5,2090,0.162,50,0.0198,12026753,3873,329894671,26379,5491286,1247,274392828,77369,862,418926,6458099,27,55056538,46.8244,0.1315,,,,,,,73596,856,411617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44005,127,703720,368454,77,20885250,2507039,698,100678511
ssp119 (medium confidence),5,2090,0.162,100,0.01,15731984,4072,356170373,26912,6954990,1354,297490694,86613,912,445940,8690380,34,58206825,51.8505,0.1353,,,,,,,82666,906,438086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55237,133,742357,449618,79,21738177,3270342,756,108143173
ssp119 (medium confidence),5,2090,0.162,250,0.004,20923209,4368,403695915,27986,9609380,1492,343919517,100799,1002,489875,11213030,34,59258536,58.5175,0.1385,,,,,,,96607,995,479444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73227,148,826753,588268,86,23423807,4671585,828,117287042
ssp119 (medium confidence),5,2100,0.145,1,0.6321,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
ssp119 (medium confidence),5,2100,0.145,5,0.1813,4710466,3248,200850991,23669,2354968,951,179423167,50478,684,326972,2305020,20,21077182,32.121300000000005,0.10880000000000001,,,,,,,47486,681,322875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16703,100,580065,163775,63,13637271,891433,538,77874815
ssp119 (medium confidence),5,2100,0.145,10,0.0952,6041716,3416,238056892,24250,3071862,1031,204066943,57662,733,352315,2912191,22,33613385,35.997,0.11710000000000001,,,,,,,54436,729,347573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23066,108,601781,208875,68,15657402,1228485,580,83823024
ssp119 (medium confidence),5,2100,0.145,25,0.0392,8836448,3674,294795033,25263,4219819,1152,243944081,67652,802,385699,4548977,24,50439989,41.417,0.1258,,,,,,,64154,798,380168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33063,122,655255,282426,72,19193823,1825478,644,93041099
ssp119 (medium confidence),5,2100,0.145,50,0.0198,11568098,3863,326144595,26205,5310095,1242,271319940,75917,859,413510,6182087,27,54384939,46.083299999999994,0.1307,,,,,,,72204,853,406688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42425,127,690648,355408,77,20756126,2414689,695,99368811
ssp119 (medium confidence),5,2100,0.145,100,0.01,15167545,4066,351929520,26834,6717095,1351,293510976,85081,911,442046,8365370,34,57949664,50.9959,0.1346,,,,,,,81180,905,434436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53463,133,739775,435403,79,21508408,3156930,753,106936040
ssp119 (medium confidence),5,2100,0.145,250,0.004,20386110,4354,393223973,27877,9283537,1483,333579717,99125,999,484137,11003447,34,59132241,57.8539,0.1379,,,,,,,94979,992,474263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71081,147,817926,569018,85,23127478,4521877,821,115334941
ssp119 (medium confidence),5,2110,0.17,1,0.6321,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
ssp119 (medium confidence),5,2110,0.17,5,0.1813,4949754,3255,207799539,23860,2498933,954,186113651,52184,685,332851,2398636,20,21329177,32.98760000000001,0.1104,,,,,,,49112,682,328754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18011,100,584893,173876,63,13800110,955065,541,79602163
ssp119 (medium confidence),5,2110,0.17,10,0.0952,6413680,3433,249557607,24432,3240938,1037,209092709,59497,739,359783,3113244,22,40080684,36.924800000000005,0.1187,,,,,,,56198,735,354682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24638,108,606787,220748,69,16637699,1308816,584,85583583
ssp119 (medium confidence),5,2110,0.17,25,0.0392,9332686,3694,304636948,25589,4440827,1162,252903107,69653,808,393424,4822209,24,51314828,42.5422,0.1267,,,,,,,66075,804,387893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35008,122,669622,299574,73,19899028,1937809,652,94750804
ssp119 (medium confidence),5,2110,0.17,50,0.0198,12242590,3878,331725542,26454,5576552,1249,275904651,78052,864,421851,6587987,27,55372584,47.172999999999995,0.1319,,,,,,,74252,858,414313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44748,127,709872,374594,77,20946012,2550498,699,101311544
ssp119 (medium confidence),5,2110,0.17,100,0.01,15997603,4079,358193341,26950,7066941,1356,299389472,87335,916,449047,8843327,34,58327873,52.253299999999996,0.1356,,,,,,,83366,910,441078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56073,133,743572,456308,79,21846304,3323712,758,108737206
ssp119 (medium confidence),5,2110,0.17,250,0.004,21175962,4372,408969058,28034,9762716,1495,349130448,101586,1003,492606,11311659,34,59317969,58.8297,0.1388,,,,,,,97375,996,481913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74237,148,830466,597327,86,23551569,4742034,829,117862608
ssp119 (medium confidence),5,2120,0.179,1,0.6321,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
ssp119 (medium confidence),5,2120,0.179,5,0.1813,5035897,3262,210578446,23929,2550763,958,188799582,52799,686,335277,2432335,20,21419658,33.2947,0.1109,,,,,,,49698,683,331180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18481,101,587689,177513,63,13858732,977975,544,80500306
ssp119 (medium confidence),5,2120,0.179,10,0.0952,6547585,3435,253823669,24490,3301805,1038,211028275,60159,739,361994,3185623,22,42408911,37.2587,0.1193,,,,,,,56832,735,356764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25205,108,608589,225023,69,16977408,1337736,584,86121103
ssp119 (medium confidence),5,2120,0.179,25,0.0392,9511334,3697,308077667,25681,4520390,1163,256025132,70376,810,397248,4920572,24,51629606,42.944,0.1271,,,,,,,66767,805,390584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35707,122,674794,305748,73,20118089,1978251,653,95309875
ssp119 (medium confidence),5,2120,0.179,50,0.0198,12485409,3879,333656846,26532,5672475,1249,277477334,78822,865,424845,6734112,27,55728136,47.5653,0.1324,,,,,,,74991,859,417049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45585,127,716792,381501,77,21014372,2599388,699,101957506
ssp119 (medium confidence),5,2120,0.179,100,0.01,16296425,4084,360563221,26991,7192886,1359,301620575,88147,917,451557,9015391,34,58464098,52.7074,0.13590000000000002,,,,,,,84154,911,443460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57012,133,744939,463834,79,21967946,3383754,760,109394616
ssp119 (medium confidence),5,2120,0.179,250,0.004,21460308,4372,414136910,28087,9935221,1495,354228653,102470,1003,495338,11422615,34,59384832,59.181,0.139,,,,,,,98237,996,484349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75373,148,834642,607518,86,23695302,4821291,829,118443868
ssp119 (medium confidence),5,2130,0.184,1,0.6321,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
ssp119 (medium confidence),5,2130,0.184,5,0.1813,5083755,3263,211939616,23965,2579556,958,190109294,53141,686,336433,2451058,20,21469926,33.4652,0.1112,,,,,,,50024,683,332336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18742,101,588722,179532,63,13891300,990702,544,80817323
ssp119 (medium confidence),5,2130,0.184,10,0.0952,6621980,3437,256066860,24519,3335622,1038,211975921,60525,741,364048,3225833,22,43702372,37.4442,0.1196,,,,,,,57184,737,358746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25519,108,609591,227397,69,17166136,1353802,584,86419724
ssp119 (medium confidence),5,2130,0.184,25,0.0392,9610582,3699,311963118,25730,4564590,1165,259734283,70775,810,398624,4975217,24,51804484,43.16720000000001,0.12739999999999999,,,,,,,67150,805,391888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36096,122,677667,309176,73,20239789,2000715,653,95589467
ssp119 (medium confidence),5,2130,0.184,50,0.0198,12620306,3883,335014295,26574,5725767,1253,278635739,79249,865,426318,6815291,27,55925666,47.783300000000004,0.1326,,,,,,,75399,859,418377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46050,127,720637,385339,77,21052348,2626550,701,102467602
ssp119 (medium confidence),5,2130,0.184,100,0.01,16462435,4085,361839125,27012,7262855,1360,302819755,88597,917,452761,9110981,34,58539598,52.95590000000001,0.136,,,,,,,84589,911,444591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57533,133,745699,468016,79,22035524,3417110,761,109771631
