Sector,Region,Total_Loss,Total_Wind_Loss,Total_Fluvial_Loss,Total_Coastal_Loss,Total_Exposed_Value,Total_Value,Number_Exposed_Buildings,Number_Damaged_Buildings,Total_Number_Buildings,Building_Loss,Total_Exposed_Building_Value,Total_Building_Value,By_Loss.range_<_1.Number,By_Loss.range_<_1.Total_Loss,By_Loss.range_1_100.Number,By_Loss.range_1_100.Total_Loss,By_Loss.range_100_1000.Number,By_Loss.range_100_1000.Total_Loss,By_Loss.range_1000_10000.Number,By_Loss.range_1000_10000.Total_Loss,By_Loss.range_10000_100000.Number,By_Loss.range_10000_100000.Total_Loss,By_Loss.range_100000_+.Number,By_Loss.range_100000_+.Total_Loss
Residential,Pukapuka,0,0,0,0,0,8449318,0,0,281,0,0,8449318,281,0,0,0,0,0,0,0,0,0,0,0
Unknown,Pukapuka,0,0,0,0,0,1014464,0,0,103,0,0,1014464,103,0,0,0,0,0,0,0,0,0,0,0
Infrastructure,Rakahanga,0,0,0,0,0,499656,0,0,0,0,0,0,553,0,0,0,0,0,0,0,0,0,0,0
Productive,Rakahanga,0,0,0,0,0,161304,0,0,0,0,0,0,282,0,0,0,0,0,0,0,0,0,0,0
Unknown,Rakahanga,0,0,0,0,0,7669263,0,0,161,0,0,7669263,161,0,0,0,0,0,0,0,0,0,0,0
Education,Rarotonga,250298,250298,0,0,17495649,17495649,50,50,50,250298,17495649,17495649,0,0,15,533,12,4982,15,52087,8,192696,0,0
Infrastructure,Rarotonga,587381,159949,0,427432,125150786,125150786,11,11,11,48988,1337975,1337975,25147,0,51,2667,49,20887,36,164053,26,399774,0,0
Other,Rarotonga,4057742,4056315,0,1427,70567653,70567653,1186,1186,1186,4057742,70567653,70567653,0,0,294,11153,383,154503,402,1425138,106,2362194,1,104754
Productive,Rarotonga,4252883,4193170,0,59713,163208343,163208343,1134,1134,1134,4252297,161192105,161192105,1460,0,416,12502,286,118502,333,1103287,97,2496559,3,522031
Public,Rarotonga,957732,945351,0,12381,80395608,80395608,325,325,325,957732,80395608,80395608,2,2,143,4906,91,37927,72,243259,15,256956,2,414684
Residential,Rarotonga,21614952,21588298,0,26654,714578306,714578306,6720,6720,6720,21614952,714578306,714578306,17,13,2567,85731,1686,683033,1891,6754194,556,13559336,3,532646
Unknown,Rarotonga,7254852,7205774,0,49078,53828562,53828562,1344,1344,1344,7254852,53828562,53828562,0,0,78,4026,525,265274,564,2006631,173,4335613,4,643307
