Sector,Total_Loss,Total_Wind_Loss,Total_Fluvial_Loss,Total_Coastal_Loss,Total_Exposed_Value,Total_Value,Number_Exposed_Buildings,Number_Damaged_Buildings,Total_Number_Buildings,Building_Loss,Total_Exposed_Building_Value,Total_Building_Value,By_Loss.range_<_1.Number,By_Loss.range_<_1.Total_Loss,By_Loss.range_1_100.Number,By_Loss.range_1_100.Total_Loss,By_Loss.range_100_1000.Number,By_Loss.range_100_1000.Total_Loss,By_Loss.range_1000_10000.Number,By_Loss.range_1000_10000.Total_Loss,By_Loss.range_10000_100000.Number,By_Loss.range_10000_100000.Total_Loss,By_Loss.range_100000_+.Number,By_Loss.range_100000_+.Total_Loss
Education,250298,250298,0,0,17893604,17899884,55,50,56,250298,17893604,17899884,6,0,15,533,12,4982,15,52087,8,192696,0,0
Infrastructure,1943804,164251,0,1779553,161398132,194863192,21,17,41,50865,1525592,2479276,64305,0,89,4726,73,27707,62,269475,76,1641896,0,0
Other,4191038,4189611,0,1427,73302389,79406930,1300,1271,1603,4191038,73302389,79406930,332,0,332,12470,410,164281,419,1497951,109,2411582,1,104754
Productive,4431951,4365106,0,66845,179863939,189349669,1367,1319,1545,4424233,173045025,180139428,8103,4,566,17001,319,132022,345,1134856,97,2496559,4,651509
Public,986484,974103,0,12381,86417084,94887032,395,375,527,986484,86417084,94887032,158,4,167,5681,109,43894,76,265266,15,256956,2,414684
Residential,22586809,22559696,0,27113,778321615,893338962,8003,7559,10672,22586809,778321615,893338962,3170,30,2990,97044,1910,768187,2016,7134019,583,14054883,3,532646
Unknown,10882469,10823809,0,58660,77504025,142761467,2082,1888,4102,10882469,77504025,142761467,2214,0,95,4973,696,347375,830,2994302,263,6892511,4,643307
